Ticker,Year,Trimestre,Tri_Performance,CAC40_Tri_Performance,Quarterly_Beta,abs_Beta,Date
RNO.PA,2022,2,-1.1837999517359603,-11.391604947073542,1.29,1.29,2022-T2
RNO.PA,2022,3,14.842947399153294,-2.844689029902581,1.82,1.82,2022-T3
RNO.PA,2022,4,9.96835102403628,11.729241989516805,0.79,0.79,2022-T4
RNO.PA,2023,1,12.574840587920203,11.03666094833144,1.43,1.43,2023-T1
RNO.PA,2023,2,0.5735172502676056,0.7364605571488261,1.65,1.65,2023-T2
RNO.PA,2023,3,-3.983391341612255,-0.8392141651334131,0.89,0.89,2023-T3
SAF.PA,2020,1,-41.75872395720708,-27.23462522241993,1.84,1.84,2020-T1
SAF.PA,2020,2,33.24373124340788,17.321330834540717,1.92,1.92,2020-T2
SAF.PA,2020,3,-6.073413783981887,-2.5066268610684657,1.28,1.28,2020-T3
SAF.PA,2020,4,37.740551826908266,15.078028194161847,1.49,1.49,2020-T4
SAF.PA,2021,1,-0.0860942512332326,8.557406438299557,1.63,1.63,2021-T1
SAF.PA,2021,2,-2.289825680518253,6.633995958992106,1.78,1.78,2021-T2
SAF.PA,2021,3,-7.693601982203988,-0.5158832482517985,1.16,1.16,2021-T3
SAF.PA,2021,4,-3.148614505842293,9.747929856462608,1.65,1.65,2021-T4
SAF.PA,2022,1,-2.5617729359708896,-7.722503693457224,1.38,1.38,2022-T1
SAF.PA,2022,2,-11.93681423794168,-11.391604947073542,1.33,1.33,2022-T2
SAF.PA,2022,3,-1.146158102397066,-2.844689029902581,1.16,1.16,2022-T3
SAF.PA,2022,4,24.1320683070148,11.729241989516805,0.81,0.81,2022-T4
SAF.PA,2023,1,15.18474121105535,11.03666094833144,1.12,1.12,2023-T1
SAF.PA,2023,2,5.89017658546178,0.7364605571488261,0.85,0.85,2023-T2
SAF.PA,2023,3,4.17607110492646,-0.8392141651334131,0.89,0.89,2023-T3
SAN.PA,2020,1,-11.17269086086156,-27.23462522241993,0.51,0.51,2020-T1
SAN.PA,2020,2,14.834049559555668,17.321330834540717,0.29,0.29,2020-T2
